% Table with all audio signal features available
% for computation in Amuse. If you wish to use
% some subset of features, please create a copy
% of this file and leave only the features you
% want to extract.

@relation features

% Unique feature ID
@attribute Id numeric
% Feature description
@attribute Description string
% Minimal possible values for this feature (for normalization)
@attribute Min string
% Maximum possible values for this feature (for normalization)
@attribute Max string

@data

% Timbre features
6124, "GFKL2011 Gesang_Solo_Frau Best NB Model", "0", "1"
6125, "GFKL2011 Gesang_Solo_Frau 2nd Best NB Model", "0", "1"
6126, "GFKL2011 Gesang_Solo_Frau Best SVM Model", "0", "1"
6127, "GFKL2011 Gesang_Solo_Frau 2nd Best SVM Model", "0", "1"

6140, "GFKL2011 Gesang_Solo_Mann Best J48 Model", "0", "1"
6141, "GFKL2011 Gesang_Solo_Mann 2nd Best J48 Model", "0", "1"
6142, "GFKL2011 Gesang_Solo_Mann Best RF Model", "0", "1"
6143, "GFKL2011 Gesang_Solo_Mann 2nd Best RF Model", "0", "1"
6144, "GFKL2011 Gesang_Solo_Mann Best NB Model", "0", "1"
6145, "GFKL2011 Gesang_Solo_Mann 2nd Best NB Model", "0", "1"
6146, "GFKL2011 Gesang_Solo_Mann Best SVM Model", "0", "1"
6147, "GFKL2011 Gesang_Solo_Mann 2nd Best SVM Model", "0", "1"

6160, "GFKL2011 Gesang_Solo_Mehrstimmig Best J48 Model", "0", "1"
6161, "GFKL2011 Gesang_Solo_Mehrstimmig 2nd Best J48 Model", "0", "1"
6162, "GFKL2011 Gesang_Solo_Mehrstimmig Best RF Model", "0", "1"
6163, "GFKL2011 Gesang_Solo_Mehrstimmig 2nd Best RF Model", "0", "1"
6164, "GFKL2011 Gesang_Solo_Mehrstimmig Best NB Model", "0", "1"
6165, "GFKL2011 Gesang_Solo_Mehrstimmig 2nd Best NB Model", "0", "1"
6166, "GFKL2011 Gesang_Solo_Mehrstimmig Best SVM Model", "0", "1"
6167, "GFKL2011 Gesang_Solo_Mehrstimmig 2nd Best SVM Model", "0", "1"

6180, "GFKL2011 Harmonik_Dur Best J48 Model", "0", "1"
6181, "GFKL2011 Harmonik_Dur 2nd Best J48 Model", "0", "1"
6182, "GFKL2011 Harmonik_Dur Best RF Model", "0", "1"
6183, "GFKL2011 Harmonik_Dur 2nd Best RF Model", "0", "1"
6184, "GFKL2011 Harmonik_Dur Best NB Model", "0", "1"
6185, "GFKL2011 Harmonik_Dur 2nd Best NB Model", "0", "1"
6186, "GFKL2011 Harmonik_Dur Best SVM Model", "0", "1"
6187, "GFKL2011 Harmonik_Dur 2nd Best SVM Model", "0", "1"

6200, "GFKL2011 Harmonik_Moll Best J48 Model", "0", "1"
6201, "GFKL2011 Harmonik_Moll 2nd Best J48 Model", "0", "1"
6202, "GFKL2011 Harmonik_Moll Best RF Model", "0", "1"
6203, "GFKL2011 Harmonik_Moll 2nd Best RF Model", "0", "1"
6204, "GFKL2011 Harmonik_Moll Best NB Model", "0", "1"
6205, "GFKL2011 Harmonik_Moll 2nd Best NB Model", "0", "1"
6206, "GFKL2011 Harmonik_Moll Best SVM Model", "0", "1"
6207, "GFKL2011 Harmonik_Moll 2nd Best SVM Model", "0", "1"

6220, "GFKL2011 Instrumentierung_Schlagzeug Best J48 Model", "0", "1"
6221, "GFKL2011 Instrumentierung_Schlagzeug 2nd Best J48 Model", "0", "1"
6222, "GFKL2011 Instrumentierung_Schlagzeug Best RF Model", "0", "1"
6223, "GFKL2011 Instrumentierung_Schlagzeug 2nd Best RF Model", "0", "1"
6224, "GFKL2011 Instrumentierung_Schlagzeug Best NB Model", "0", "1"
6225, "GFKL2011 Instrumentierung_Schlagzeug 2nd Best NB Model", "0", "1"
6226, "GFKL2011 Instrumentierung_Schlagzeug Best SVM Model", "0", "1"
6227, "GFKL2011 Instrumentierung_Schlagzeug 2nd Best SVM Model", "0", "1"

6240, "GFKL2011 Melodik_Ambitus_groesser_Oktave Best J48 Model", "0", "1"
6241, "GFKL2011 Melodik_Ambitus_groesser_Oktave 2nd Best J48 Model", "0", "1"
6242, "GFKL2011 Melodik_Ambitus_groesser_Oktave Best RF Model", "0", "1"
6243, "GFKL2011 Melodik_Ambitus_groesser_Oktave 2nd Best RF Model", "0", "1"
6244, "GFKL2011 Melodik_Ambitus_groesser_Oktave Best NB Model", "0", "1"
6245, "GFKL2011 Melodik_Ambitus_groesser_Oktave 2nd Best NB Model", "0", "1"
6246, "GFKL2011 Melodik_Ambitus_groesser_Oktave Best SVM Model", "0", "1"
6247, "GFKL2011 Melodik_Ambitus_groesser_Oktave 2nd Best SVM Model", "0", "1"

6260, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave Best J48 Model", "0", "1"
6261, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave 2nd Best J48 Model", "0", "1"
6262, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave Best RF Model", "0", "1"
6263, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave 2nd Best RF Model", "0", "1"
6264, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave Best NB Model", "0", "1"
6265, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave 2nd Best NB Model", "0", "1"
6266, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave Best SVM Model", "0", "1"
6267, "GFKL2011 Melodik_Ambitus_kleiner_gleich_Oktave 2nd Best SVM Model", "0", "1"

6280, "GFKL2011 Melodik_Ambitus_Linear Best J48 Model", "0", "1"
6281, "GFKL2011 Melodik_Ambitus_Linear 2nd Best J48 Model", "0", "1"
6282, "GFKL2011 Melodik_Ambitus_Linear Best RF Model", "0", "1"
6283, "GFKL2011 Melodik_Ambitus_Linear 2nd Best RF Model", "0", "1"
6284, "GFKL2011 Melodik_Ambitus_Linear Best NB Model", "0", "1"
6285, "GFKL2011 Melodik_Ambitus_Linear 2nd Best NB Model", "0", "1"
6286, "GFKL2011 Melodik_Ambitus_Linear Best SVM Model", "0", "1"
6287, "GFKL2011 Melodik_Ambitus_Linear 2nd Best SVM Model", "0", "1"

6300, "GFKL2011 Melodik_Ambitus_Sprunghaft Best J48 Model", "0", "1"
6301, "GFKL2011 Melodik_Ambitus_Sprunghaft 2nd Best J48 Model", "0", "1"
6302, "GFKL2011 Melodik_Ambitus_Sprunghaft Best RF Model", "0", "1"
6303, "GFKL2011 Melodik_Ambitus_Sprunghaft 2nd Best RF Model", "0", "1"
6304, "GFKL2011 Melodik_Ambitus_Sprunghaft Best NB Model", "0", "1"
6305, "GFKL2011 Melodik_Ambitus_Sprunghaft 2nd Best NB Model", "0", "1"
6306, "GFKL2011 Melodik_Ambitus_Sprunghaft Best SVM Model", "0", "1"
6307, "GFKL2011 Melodik_Ambitus_Sprunghaft 2nd Best SVM Model", "0", "1"

