% Feature correlation 

@relation 'Feature correlation'

@attribute 'First feature id' numeric
@attribute 'First feature dimension' numeric
@attribute 'Second feature id' numeric
@attribute 'Second feature dimension' numeric
@attribute 'Correlation coefficient' numeric

@data
0,1,213,3,0.14687
0,1,214,1,0.2448
0,1,214,2,0.29625
0,1,214,3,0.13579
0,1,215,1,0.25217
0,1,215,2,0.28456
0,1,215,3,0.084881
0,1,216,1,0.075129
0,1,216,2,0.069247
0,1,216,3,0.050839
0,1,216,4,0.12629
0,1,216,5,0.066544
0,1,216,6,0.097276
0,1,217,1,0.064918
0,1,218,1,0.1016
0,1,218,2,0.089976
0,1,218,3,0.089328
0,1,218,4,0.089042
0,1,218,5,0.087826
0,1,218,6,0.090357
0,1,218,7,0.091775
0,1,218,8,0.09364
0,1,218,9,0.092894
0,1,218,10,0.09947
0,1,218,11,0.096752
0,1,218,12,0.093259
0,1,401,1,0.09137
0,1,402,1,0.11901
0,1,405,1,0.053872
0,1,406,1,0.048641
0,1,407,1,0.14636
0,1,410,1,0.093548
0,1,410,2,0.119
0,1,410,3,0.1357
0,1,410,4,0.13125
0,1,410,5,0.1101
0,1,410,6,0.11514
0,1,410,7,0.15458
0,1,418,1,0.089983
0,1,420,1,0.12715
0,1,421,1,NaN
0,1,422,1,0.08723
0,1,425,1,0.059277
0,1,427,1,0.085934
0,1,427,2,0.072331
0,1,427,3,0.063621
0,1,427,4,0.06524
0,1,427,5,0.071175
1,1,1,2,0.2821
1,1,1,3,0.20967
1,1,1,4,0.15241
1,1,1,5,0.15344
1,1,1,6,0.12284
1,1,1,7,0.12095
1,1,1,8,0.0936
1,1,1,9,0.085112
1,1,1,10,NaN
1,1,2,1,0.05202
1,1,2,2,0.058161
1,1,3,1,0.38293
1,1,3,2,0.37412
1,1,4,1,0.18962
1,1,6,1,0.10016
1,1,7,1,0.13126
1,1,10,1,0.28381
1,1,10,2,0.2604
1,1,14,1,0.62141
1,1,15,1,0.179
1,1,16,1,0.46833
1,1,17,1,0.50308
1,1,18,1,0.30876
1,1,19,1,0.066242
1,1,19,2,0.076599
1,1,19,3,0.081101
1,1,19,4,0.082177
1,1,20,1,0.067491
1,1,20,2,0.083243
1,1,20,3,0.093143
1,1,20,4,0.10013
1,1,21,1,0.72999
1,1,22,1,0.086522
1,1,23,1,0.63001
1,1,24,1,0.19985
1,1,25,1,0.77729
1,1,25,2,0.527
1,1,25,3,0.7159
1,1,25,4,0.66761
1,1,28,1,0.36621
1,1,28,2,0.4995
1,1,28,3,0.13132
1,1,28,4,0.16077
1,1,28,5,0.087553
1,1,28,6,0.10782
1,1,28,7,0.066937
1,1,28,8,0.061458
1,1,28,9,0.053645
1,1,28,10,0.051372
1,1,28,11,0.045549
1,1,28,12,0.044921
1,1,28,13,0.043765
1,1,29,1,0.27799
1,1,30,1,0.16234
1,1,31,1,0.18252
1,1,32,1,0.48816
1,1,33,1,0.4053
1,1,38,1,0.58455
1,1,38,2,0.15032
1,1,38,3,0.12765
1,1,38,4,0.11911
1,1,38,5,0.092675
1,1,38,6,0.099478
1,1,38,7,0.097256
1,1,38,8,0.083696
1,1,38,9,0.073924
1,1,38,10,0.076982
1,1,38,11,0.067045
1,1,38,12,0.063421
1,1,38,13,0.057997
1,1,38,14,0.056229
1,1,38,15,0.050079
1,1,38,16,0.051048
1,1,38,17,0.049906
1,1,38,18,0.045845
1,1,38,19,0.051884
1,1,38,20,0.047115
1,1,39,1,0.57371
1,1,39,2,0.16035
1,1,39,3,0.1968
1,1,39,4,0.092286
1,1,39,5,0.10211
1,1,39,6,0.06395
1,1,39,7,0.057072
1,1,39,8,0.047676
1,1,39,9,0.052843
1,1,39,10,0.047363
1,1,39,11,0.052473
1,1,39,12,0.044163
1,1,39,13,0.045983
1,1,40,1,0.22055
1,1,40,2,0.17555
1,1,40,3,0.13288
1,1,40,4,0.12397
1,1,40,5,0.095586
1,1,40,6,0.094171
1,1,40,7,0.086102
1,1,40,8,0.08413
1,1,40,9,0.08214
1,1,40,10,0.079049
1,1,40,11,0.084734
1,1,40,12,0.089199
1,1,40,13,0.1059
1,1,40,14,0.11838
1,1,40,15,0.13969
1,1,40,16,0.1588
1,1,40,17,0.19288
1,1,40,18,0.25196
1,1,40,19,0.32381
1,1,40,20,0.37901
1,1,40,21,0.42135
1,1,40,22,0.43928
1,1,40,23,0.41561
1,1,41,1,0.10289
1,1,41,2,0.10996
1,1,41,3,0.11805
1,1,41,4,0.11122
1,1,41,5,0.094125
1,1,41,6,0.10205
1,1,41,7,0.11402
1,1,41,8,0.10853
1,1,42,1,0.095111
1,1,42,2,0.09945
1,1,42,3,0.10457
1,1,42,4,0.11136
1,1,42,5,0.11747
1,1,42,6,0.08329
1,1,42,7,0.089338
1,1,42,8,0.097082
1,1,42,9,0.10685
1,1,42,10,0.11274
1,1,60,1,0.10115
1,1,60,2,0.10556
1,1,60,3,0.14645
1,1,60,4,0.18291
1,1,60,5,0.21417
1,1,60,6,0.23975
1,1,60,7,0.26707
1,1,60,8,0.28563
1,1,60,9,0.27755
1,1,60,10,0.31206
1,1,61,1,0.17051
1,1,61,2,0.14782
1,1,61,3,0.11722
1,1,61,4,0.094465
1,1,61,5,0.088185
1,1,61,6,0.094838
1,1,61,7,0.13542
1,1,61,8,0.20183
1,1,61,9,0.34774
1,1,61,10,0.44153
1,1,62,1,0.055795
1,1,62,2,0.098757
1,1,62,3,0.13516
1,1,62,4,0.15789
1,1,62,5,0.19515
1,1,62,6,0.21237
1,1,62,7,0.27089
1,1,62,8,0.3721
1,1,62,9,0.35955
1,1,62,10,0.20636
1,1,200,1,0.14134
1,1,201,1,0.17727
1,1,202,1,0.026686
1,1,202,2,0.092374
1,1,203,1,0.025229
1,1,204,1,0.13223
1,1,204,2,0.20555
1,1,204,3,0.25624
1,1,204,4,0.1231
1,1,204,5,0.22909
1,1,204,6,0.18307
1,1,204,7,0.31434
1,1,204,8,0.2555
1,1,204,9,0.17023
1,1,204,10,0.18417
1,1,204,11,0.15338
1,1,204,12,0.21983
1,1,204,13,0.094056
1,1,204,14,0.17077
1,1,204,15,0.31251
1,1,204,16,0.20589
1,1,204,17,0.22821
1,1,204,18,0.11156
1,1,204,19,0.43585
1,1,204,20,0.31013
1,1,204,21,0.36576
1,1,204,22,0.15984
1,1,204,23,0.079045
1,1,204,24,0.23441
1,1,205,1,0.24878
1,1,206,1,0.17475
1,1,206,2,0.17556
1,1,206,3,0.17675
1,1,206,4,0.18895
1,1,206,5,0.19255
